ID_EMERGENCIA;ID_MUNICIPIO;ID_COMUNA;ID_BARRIO;ID_TIPO_EMERGENCIA;CIUDAD;LONGITUD;LATITUD
1534;1;11;157;39;Bucaramanga;70884703;-731081091
1730;1;11;169;11;Bucaramanga;70884703;-731081091
2067;1;9;140;37;Bucaramanga;70847793;-731154053
2220;1;11;170;26;Bucaramanga;70884703;-731081091
2369;1;10;150;39;Bucaramanga;70884703;-731081091
2951;1;10;150;1;Bucaramanga;70831157;-731135425
3501;1;10;150;39;Bucaramanga;70884833;-731080813
3502;1;10;150;39;Bucaramanga;70884833;-731080813
5178;1;10;150;3;Bucaramanga;70884703;-731081091
8412;1;9;142;39;Bucaramanga;70884703;-731081091
9306;1;10;150;39;Bucaramanga;70847793;-731154053
11968;1;10;150;5;Bucaramanga;70884703;-731081091
