DIRECCIÓN,BARRIO,X,Y,TIPO,DIÁMETRO HIDRANTE,Longitud,Latitud
CRA 19 # 102-52 ,Fontana,1105980.36,1275505.493,Tipo Tráfico,4'',-73.11823413,7.086535193
CRA 25 # 18-17,San Francisco,1105623.534,1280397.938,Tipo Tráfico,4'',-73.12137215,7.130774617
CL 46 # 39-88,Cabecera del Llano,1107284.796,1279050.547,Tipo Tráfico,4'',-73.10636101,7.118561508
CL 41 # 24-45,Bólivar,1106050.8,1278974.45,Tipo Tráfico,4'',-73.11753156,7.117896818
CL 19 # 31-45,San Alonso,1106200.352,1280452.601,Tipo Tráfico,4'',-73.11615009,7.131257998
AV LOS BUCAROS # 3-155,Ciudadela Real de Minas,1104989.932,1277426.369,Tipo Tráfico,4'',-73.12716245,7.103920352
AV LOS BUCAROS # 3-308,Ciudadela Real de Minas,1105073.986,1277411.63,Tipo Tráfico,4'',-73.12640196,7.103785539
CL 34 # 29-27,Mejoras Públicas,1106313.995,1279664.285,Tipo Tráfico,4'',-73.11513633,7.124128677
CRA 15 # 104B-69 ,Delicias,1105520.944,1275097.197,Tipo Tráfico,4'',-73.1223997,7.082852326
CRA 20#24,Alarcón,1105250.875,1279843.828,Tipo Tráfico,4'',-73.12475561,7.125771854
CL 14 # 25-44,San Francisco,1105587.816,1280812.781,Tipo Milán,3'',-73.12168767,7.134525898
CL 19 # 24-28,San Francisco,1105545.392,1280301.256,Tipo Tráfico,4'',-73.12208127,7.129901981
CRA 23 # 24-09,Alarcón,1105535.745,1279942.439,Tipo Tráfico,4'',-73.1221753,7.126658087
CL 36 # 35-13,El Prado,1106798.095,1279696.265,Tipo Milán,3'',-73.110754,7.124408675
CL 13 # 25-31,Universidad,1105558.406,1280876.041,Tipo Milán,3'',-73.12195269,7.135098383
CL 34 # 28-37,Mejoras Públicas,1106235.463,1279604.624,Tipo Tráfico,4'',-73.11584828,7.123590765
CRA 24 # 10-44,Mutualidad,1105382.844,1281075.593,Tipo Tráfico,4'',-73.12353806,7.136905822
CL 53 # 47A-13,Terrazas,1107463.155,1278365.665,Tipo Tráfico,4'',-73.1047597,7.112366107
CL 21 # 29-43,San Alonso,1106069.794,1280231.445,Tipo Tráfico,4'',-73.117336,7.129260977
CRA 24 # 17-29 ,San Francisco,1105511.813,1280466.103,Tipo Tráfico,4'',-73.12238211,7.131392992
CL 14 # 16-15,Modelo,1104737.527,1280645.195,Tipo Tráfico,4'',-73.12938721,7.133026606
CL 48 # 18-54 ,La Concordia,1105765.762,1278486.683,Tipo Tráfico,4'',-73.12012063,7.113492242
CL 71 # 54-55 LAG CACIQUE,Lagos del Cacique,1108136.037,1277564.658,Tipo Tráfico,4'',-73.09868476,7.105111398
CL 106 # 25-49,Provenza,1106896.945,1275471.573,Tipo Tráfico,4'',-73.10993916,7.086211325
VIA PALENQUE-CAFE Z.INDUST.II SECTOR FORJANDES,Río de Oro I,1102270.812,1281585.692,Tipo Tráfico,4'',-73.15169766,7.141575034
VIA PALENQUE-CAFE Z.INDUST.II SECTOR FORJANDES,Río de Oro I,1102296.846,1281667.899,Tipo Tráfico,4'',-73.15146052,7.142317804
VIA PALENQUE-CAFE CRA 8 # 15N- 10 BODEGA 11,,1102384.51,1281834.742,Tipo Tráfico,4'',-73.15066397,7.143824654
CRA 8 # 20N-148,No aplica - Bucaramanga,1102379.623,1281978.281,Tipo Tráfico,4'',-73.15070559,7.145122494
CRA 8 # 20 -148,Café Madrid,1102367.779,1282170.735,Tipo Tráfico,4'',-73.1508093,7.146862698
CIRCUN 35 # 92-170 ,El Tejar,1107283.001,1276861.666,Tipo Tráfico,6'',-73.10641882,7.098771879
CRA 33 # 85-136/ 150,San Martin,1106989.957,1276848.243,Tipo Tráfico,4'',-73.10907135,7.098656059
CRA 23 # 48-17 ,Nuevo Sotomayor,1106099.391,1278609.921,Tipo Tráfico,4'',-73.11709861,7.114600186
CL  45#0-150,Campo Hermoso,1104067.016,1277906.151,Tipo Tráfico,6'',-73.13550687,7.108275139
CL 20 # 32-15,San Alonso,1106294.617,1280375.855,Tipo Tráfico,6'',-73.11529831,7.130562355
CRA 23 # 51-46,La Concordia,1106165.455,1278417.082,Tipo Tráfico,4'',-73.11650428,7.112855491
CRA 28 # 40-37,Mejoras Públicas,1106376.024,1279272.94,Tipo Tráfico,4'',-73.11458228,7.120589353
