DIRECCIÓN,BARRIO,X,Y,TIPO,DIÁMETRO HIDRANTE,WGS84 Latitud,WGS84 Longitud
CRA 19 # 102-52,Fontana,1105980,1275505,Tipo Tráfico,4'',,
CRA 25 # 18-17,San Francisco,1105624,1280398,Tipo Tráfico,4'',,
CL 46 # 39-88,"Cabecera del
Llano",1107285,1279051,Tipo Tráfico,4'',,
CL 41 # 24-45,Bólivar,1106051,1278974,Tipo Tráfico,4'',,
CL 19 # 31-45,San Alonso,1106200,1280453,Tipo Tráfico,4'',,
AV LOS BUCAROS # 3-155,"Ciudadela Real de
Minas",1104990,1277426,Tipo Tráfico,4'',,
AV LOS BUCAROS # 3-308,"Ciudadela Real de
Minas",1105074,1277412,Tipo Tráfico,4'',,
CL 34 # 29-27,Mejoras Públicas,1106314,1279664,Tipo Tráfico,4'',,
CRA 15 # 104B-69,Delicias,1105521,1275097,Tipo Tráfico,4'',,
CRA 20#24,Alarcón,1105251,1279844,Tipo Tráfico,4'',,
CL 14 # 25-44,San Francisco,1105588,1280813,Tipo Milán,3'',,
CL 19 # 24-28,San Francisco,1105545,1280301,Tipo Tráfico,4'',,
CRA 23 # 24-09,Alarcón,1105536,1279942,Tipo Tráfico,4'',,
CL 36 # 35-13,El Prado,1106798,1279696,Tipo Milán,3'',,
CL 13 # 25-31,Universidad,1105558,1280876,Tipo Milán,3'',,
CL 34 # 28-37,Mejoras Públicas,1106235,1279605,Tipo Tráfico,4'',,
CRA 24 # 10-44,Mutualidad,1105383,1281076,Tipo Tráfico,4'',,
CL 53 # 47A-13,Terrazas,1107463,1278366,Tipo Tráfico,4'',,
CL 21 # 29-43,San Alonso,1106070,1280231,Tipo Tráfico,4'',,
CRA 24 # 17-29,San Francisco,1105512,1280466,Tipo Tráfico,4'',,
CL 14 # 16-15,Modelo,1104738,1280645,Tipo Tráfico,4'',,
CL 48 # 18-54,La Concordia,1105766,1278487,Tipo Tráfico,4'',,
CL 71 # 54-55 LAG CACIQUE,Lagos del Cacique,1108136,1277565,Tipo Tráfico,4'',,
CL 106 # 25-49,Provenza,1106897,1275472,Tipo Tráfico,4'',,
"VIA PALENQUE-CAFE Z.INDUST.II
SECTOR FORJANDES",Río de Oro I,1102271,1281586,Tipo Tráfico,4'',,
