CODIGO,DIRECCION,BARRIO,"COORDENADAS MAGNA SIRGAS
COLOMBIA ORIGEN BOGOTÁ",,COORDENADAS WGS 84,
,,,X,Y,LONGITUD,LATITUD
H_217,VIA PAMPLONA # 1-97,QUINTA BRIGADA,1.107.167,1.280.315,"-73°6'26,64""","7°7'47,97"""
H_532,VIA PALENQUE C. MADRID KM2 SERVITECA GARCILLANTAS,RÍO DE ORO I,1.100.869,1.277.500,"-73°9'52,05""","7°6'16,77"""
H_36,VIA PALENQUE-CAFE Z.INDUST.II SECTOR FORJANDES,RÍO DE ORO I,1.102.271,1.281.586,"-73°9'6,11""","7°8'29,67"""
H_37,VIA PALENQUE-CAFE Z.INDUST.II SECTOR FORJANDES,RÍO DE ORO I,1.102.297,1.281.668,"-73°9'5,26""","7°8'32,34"""
H_535,VIA PALENQUE-CAFE PARQUEADERO KM 2,RÍO DE ORO I,1.100.659,1.277.360,"-73°9'58,91""","7°6'12,25"""
H_1951,VIA PALENQUE-CAFE KM 2,RÍO DE ORO II,1.100.829,1.276.847,"-73°9'53,4""","7°5'55,53"""
H_1441,VIA PALENQUE-CAFE CRA D- 45 MZ H,RÍO DE ORO I,1.101.045,1.278.115,"-73°9'46,28""","7°6'36,77"""
H_38,VIA PALENQUE-CAFE CRA 8 # 15N- 10 BODEGA 11,,1.102.385,1.281.835,"-73°9'2,39""","7°8'37,77"""
H_1443,VIA PALENQUE-CAFE CRA 3 # 1-76,RÍO DE ORO I,1.100.352,1.277.334,"-73°10'8,9""","7°6'11,42"""
H_1442,VIA PALENQUE-CAFE CRA 2 # 3-102 BODEGA 3,RÍO DE ORO I,1.100.501,1.277.433,"-73°10'4,04""","7°6'14,63"""
H_1444,VIA PALENQUE-CAFE CRA 1 # 2-57 BODEGA 6,RÍO DE ORO I,1.100.375,1.277.221,"-73°10'8,18""","7°6'7,74"""
H_2010,VIA GIRON KM 4 PRONALCI S.A.,QUEBRADA LA IGLESIA I,1.103.769,1.275.543,"-73°8'17,7""","7°5'12,89"""
H_573,VIA GIRON KM 4 ENRADAT LADRILLERA .BGA,QUEBRADA LA IGLESIA I,1.104.039,1.275.513,"-73°8'8,9""","7°5'11,89"""
H_1639,VIA CUCUTA # 258  B LOS LOS SAUCES,LOS SAUCES,1.107.125,1.280.761,"-73°6'27,98""","7°8'2,51"""
H_1975,VIA CAFE MADRID # 2-58,13 DE JUNIO,1.104.479,1.282.563,"-73°7'54,09""","7°9'1,32"""
H_1802,"VIA BUCARAMANGA-RIONEGRO # 40- 173 FINCA
GETSEMANI",CAMPESTRE NORTE,1.104.367,1.285.153,"-73°7'57,55""","7°10'25,63"""
H_821,VIA BGA-GIRON KM 6 BODEGA 1,QUEBRADA LA IGLESIA I,1.102.791,1.275.248,"-73°8'49,59""","7°5'3,36"""
H_545,VIA BGA-GIRON KM 6,,1.102.697,1.275.235,"-73°8'52,65""","7°5'2,93"""
H_640,VIA BGA-GIRON CL 58 # 4- 71 TRANSITO DE GIRON,QUEBRADA LA IGLESIA I,1.103.767,1.275.507,"-73°8'17,76""","7°5'11,72"""
H_1899,VIA AL MAR KM 2 CL 8N # 15-04,MIRAMAR,1.104.626,1.282.246,"-73°7'49,31""","7°8'50,99"""
H_1812,VIA AL MAR KM 2 # 1-95,ESPERANZA III,1.104.623,1.282.291,"-73°7'49,41""","7°8'52,46"""
H_1823,VIA AL MAR CRA 21 # 38N-10 SUB ESTACION LOS PALOS,,1.104.362,1.284.412,"-73°7'57,77""","7°10'1,52"""
H_1394,VIA AL MAR # 7N-71 MOLINOS ZULIA,ESPERANZA III,1.104.663,1.282.213,"-73°7'48,13""","7°8'49,92"""
H_275,TRANS ORIENTAL # 90-182,EL TEJAR,1.107.229,1.276.994,"-73°6'24,87""","7°5'59,9"""
H_309,TRANS ORIENTAL # 90-182,EL TEJAR,1.107.239,1.276.934,"-73°6'24,52""","7°5'57,94"""
H_1480,TRANS ORIENTAL # 89-02,EL TEJAR,1.107.186,1.277.173,"-73°6'26,24""","7°6'5,71"""
H_302,TRANS CENTRAL METROP # 2A-14,BUCARAMANGA,1.104.830,1.276.351,"-73°7'43,06""","7°5'39,12"""
H_1288,TRANS CENTRAL METROP # 103A-16 LOC 2,JARDINES DE COAVICONSA,1.105.509,1.275.489,"-73°7'20,99""","7°5'11,01"""
H_273,TRANS 93 # 34-99 OF 1004,EL TEJAR,1.107.128,1.276.959,"-73°6'28,15""","7°5'58,75"""
H_274,TRANS 93 # 34-99,EL TEJAR,1.107.116,1.276.899,"-73°6'28,53""","7°5'56,82"""
H_276,TRANS 93 # 34-99,EL TEJAR,1.107.246,1.276.885,"-73°6'24,33""","7°5'56,34"""
H_272,TRANS 93 # 34-180 T 8,EL TEJAR,1.107.137,1.277.022,"-73°6'27,84""","7°6'0,82"""
H_1942,TRANS 93 # 34-180 T 5,EL TEJAR,1.107.105,1.276.979,"-73°6'28,89""","7°5'59,41"""
H_1661,TRANS 2A # 53-30 T 2,CIUDADELA REAL DE MINAS,1.104.696,1.277.467,"-73°7'47,37""","7°6'15,45"""
H_1032,TRANS 29A # 105-08,ASTURIAS,1.107.226,1.275.908,"-73°6'25,04""","7°5'24,54"""
H_1039,TRANS 28 # 105-06,ASTURIAS,1.107.179,1.275.821,"-73°6'26,56""","7°5'21,72"""
H_1686,TRANS 22A # 87-41,DIAMANTE II,1.106.493,1.276.189,"-73°6'48,9""","7°5'33,73"""
