X,Y,Latitud WGS 84,Longitud WGS 84
1.105.980,1.275.505,1105884.356,1275417.634
1.105.624,1.280.398,1105527.653,1280310.107
1.107.285,1.279.051,1107188.714,1278962.585
1.106.051,1.278.974,1105954.849,1278886.586
1.106.200,1.280.453,1106104.41,1280364.725
1.104.990,1.277.426,1104894.066,1277338.589
1.105.074,1.277.412,1104978.112,1277323.844
1.106.314,1.279.664,1106218.027,1279576.4
1.105.521,1.275.097,1105424.981,1275009.374
1.105.251,1.279.844,1105155.024,1279756.027
1.105.588,1.280.813,1105491.946,1280724.954
1.105.545,1.280.301,1105449.517,1280213.432
1.105.536,1.279.942,1105439.865,1279854.616
1.106.798,1.279.696,1106702.077,1279608.342
1.105.558,1.280.876,1105462.541,1280788.216
1.106.235,1.279.605,1106139.502,1279516.745
1.105.383,1.281.076,1105287.001,1280987.781
1.107.463,1.278.366,1107367.041,1278277.688
1.106.070,1.280.231,1105973.862,1280143.579
1.105.512,1.280.466,1105415.946,1280378.281
1.104.738,1.280.645,1104641.745,1280557.435
1.105.766,1.278.487,1105669.833,1278398.841
1.108.136,1.277.565,1108039.838,1277476.629
1.106.897,1.275.472,1106800.842,1275383.641
1.102.271,1.281.586,1102175.311,1281498.128
1.102.297,1.281.668,1102201.343,1281580.333
1.102.385,1.281.835,1102289.001,1281747.169
1.102.380,1.281.978,1102284.117,1281890.709
1.102.368,1.282.171,1102272.277,1282083.163
1.107.283,1.276.862,1107186.88,1276773.704
1.106.990,1.276.848,1106893.868,1276760.304
1.106.099,1.278.610,1106003.427,1278522.052
